next_trade_date;end_test_date;outdir;prev_outdir
2013/06/03;2013/06/07;D0603;D0603
2013/06/10;2013/06/14;D0610;D0603
2013/06/17;2013/06/21;D0617;D0610
2013/06/24;2013/06/28;D0624;D0617
2013/07/01;2013/07/05;D0701;D0624
2013/07/08;2013/07/12;D0708;D0701
2013/07/15;2013/07/19;D0715;D0708
2013/07/22;2013/07/26;D0722;D0715
2013/07/30;2013/08/02;D0730;D0722
2013/08/05;2013/08/09;D0805;D0730
2013/08/12;2013/08/16;D0812;D0805
2013/08/19;2013/08/23;D0819;D0812
2013/08/26;2013/08/30;D0826;D0819
2013/09/02;2013/09/06;D0902;D0826
