datetime;hour;min;hourmin;count0;count2;perc0;perc2;dec;lbl
201307231623;16;23;1623;2;0;1;0;2;0
201306191345;13;45;1345;2;0;1;0;2;0
201307231928;19;28;1928;0;1;0;1;2;0
201306061721;17;21;1721;1;0;1;0;2;0
201308141330;13;30;1330;0;1;0;1;2;0
201306191347;13;47;1347;0;1;0;1;2;0
201306251605;16;05;1605;0;1;0;1;2;0
201306131330;13;30;1330;7;1;0.88;0.12;2;2
201307261533;15;33;1533;1;0;1;0;2;0
201307231520;15;20;1520;1;0;1;0;2;0
201307051522;15;22;1522;0;1;0;1;2;0
201306131335;13;35;1335;1;0;1;0;2;0
201307081400;14;00;1400;0;1;0;1;2;0
201306181950;19;50;1950;2;0;1;0;2;0
201306131339;13;39;1339;1;0;1;0;2;0
201306191700;17;00;1700;0;1;0;1;2;0
201308301559;15;59;1559;1;0;1;0;2;0
201308161611;16;11;1611;1;0;1;0;2;0
201309041330;13;30;1330;2;2;0.5;0.5;2;0
201308191330;13;30;1330;4;1;0.8;0.2;2;0
201307031347;13;47;1347;1;0;1;0;2;0
201306131740;17;40;1740;1;0;1;0;2;0
201306031455;14;55;1455;2;0;1;0;2;0
201307231937;19;37;1937;1;0;1;0;2;0
201307231634;16;34;1634;0;1;0;1;2;0
201306171700;17;00;1700;0;2;0;1;2;0
201306141645;16;45;1645;1;1;0.5;0.5;2;0
201308051600;16;00;1600;0;1;0;1;2;0
201306131342;13;42;1342;1;0;1;0;2;0
201306131346;13;46;1346;1;0;1;0;2;0
201308161625;16;25;1625;1;0;1;0;2;0
201306131635;16;35;1635;1;0;1;0;2;0
201307121330;13;30;1330;1;0;1;0;2;0
201307081808;18;08;1808;0;1;0;1;2;0
201306071330;13;30;1330;8;3;0.73;0.27;0;2
201307091507;15;07;1507;1;0;1;0;2;0
201308121330;13;30;1330;1;2;0.33;0.67;2;0
201306181544;15;44;1544;0;1;0;1;2;0
201307241330;13;30;1330;12;2;0.86;0.14;0;0
201307231932;19;32;1932;0;1;0;1;2;0
201306141330;13;30;1330;10;1;0.91;0.09;0;2
201306171500;15;00;1500;2;0;1;0;2;0
201307181353;13;53;1353;1;0;1;0;2;0
201306141332;13;32;1332;1;0;1;0;2;0
201307081800;18;00;1800;0;1;0;1;2;0
201308061955;19;55;1955;1;0;1;0;2;0
201306191330;13;30;1330;1;0;1;0;2;2
201307231901;19;01;1901;1;0;1;0;2;0
201306251459;14;59;1459;0;1;0;1;2;0
201306131903;19;03;1903;1;0;1;0;2;0
201307111927;19;27;1927;1;0;1;0;2;0
201307231904;19;04;1904;0;1;0;1;2;0
201306171914;19;14;1914;0;1;0;1;2;0
201307231503;15;03;1503;0;1;0;1;2;0
201306141754;17;54;1754;1;0;1;0;2;0
201306131358;13;58;1358;1;0;1;0;2;0
201306061330;13;30;1330;6;1;0.86;0.14;2;0
201307261928;19;28;1928;0;1;0;1;2;0
201308261330;13;30;1330;3;2;0.6;0.4;2;0
201308121626;16;26;1626;1;0;1;0;2;0
201307101755;17;55;1755;1;0;1;0;2;0
201307231508;15;08;1508;1;0;1;0;2;0
201308261334;13;34;1334;1;0;1;0;2;0
201306131622;16;22;1622;1;0;1;0;2;0
201308131444;14;44;1444;1;0;1;0;2;0
201307231648;16;48;1648;1;0;1;0;2;0
201306121534;15;34;1534;1;0;1;0;2;0
201306251457;14;57;1457;0;1;0;1;2;0
201306141618;16;18;1618;1;0;1;0;2;0
201306041658;16;58;1658;1;0;1;0;2;0
